Interval_end_time Gauss_expected_value Raw_data_argmax FWHM_(FULL_width) Esum_Gauss Esum_raw
474.848755 11.129380 11.996226 6.077108 12076.259670 11776.532321 
499.348694 10.485576 10.087307 5.255323 15759.179391 14933.223515 
513.090698 11.854950 11.996226 6.207860 13728.103826 13392.133621 
529.659912 11.738341 11.996226 6.164086 15546.340431 14322.736690 
568.361450 12.176974 11.996226 6.685367 15808.764312 15625.428616 
607.386353 14.975772 15.996226 4.916141 20789.692662 22153.341763 
622.356873 15.658817 15.996226 3.237458 48792.104441 45400.157331 
646.101929 15.127308 15.996226 5.908823 17535.073254 17995.559313 
694.881775 15.732797 16.087307 4.070520 38080.657902 37857.520073 
773.980286 15.499111 16.360550 8.094243 13448.854050 11785.087039 
876.035217 15.114946 15.996226 5.225862 21146.313179 22329.141877 
1001.399960 14.696967 16.178388 6.803772 12794.697276 13984.749345 
1171.218380 14.662813 13.996226 4.393691 28128.279373 25102.748510 
1338.555050 14.826007 14.178388 4.548002 27296.196350 24398.824132 
1461.825320 14.779452 14.269469 4.944433 29306.752957 26401.651174 
1504.125490 15.698091 16.269469 3.268978 46473.904316 44738.342065 
1539.632930 15.609015 16.087307 3.342719 48576.116365 45323.341159 
1570.145140 14.862217 14.178388 4.000230 36192.642499 34327.607184 
1598.811890 15.776534 16.633794 5.080405 23850.636545 24278.141015 
1628.946170 14.519175 14.269469 3.959062 35156.636017 32438.569279 
1678.042360 15.552507 15.996226 4.061686 36955.404613 35161.003224 
1760.908080 14.687067 15.996226 5.803282 19206.634409 19782.039152 
1842.733890 14.169990 13.996226 4.788402 28040.540437 25398.098697 
1894.076170 13.106441 12.360550 6.195431 20045.301629 21533.343461 
1928.683840 12.393656 12.087307 5.383914 27191.393290 27336.121646 
1997.999150 12.983591 12.360550 5.638604 19121.430279 17385.561059 
2112.716060 13.129358 14.087307 5.878906 23562.484151 26855.243917 
2242.623780 13.559137 13.996226 6.009199 23290.546929 21319.867384 
2415.161130 14.334604 13.996226 5.947548 24093.090641 20992.270559 
2701.734380 12.885504 12.087307 6.820473 18555.806999 18789.366041 
3143.526370 13.719471 13.996226 5.876263 21389.914847 20625.259701 
4174.810060 13.876779 13.996226 6.843795 17470.302604 18204.523730 
6521.337890 13.188280 13.996226 5.986649 20233.394305 20665.708739 
11903.294900 12.392678 11.996226 6.154480 13462.726808 12445.397795 
21312.753900 13.541905 14.178388 6.976890 14093.642502 13204.399736 
59723.847700 11.620463 11.996226 6.841914 12739.749355 11228.389161 
70237.585900 12.347235 12.087307 4.688595 1687.433418 1552.886645 
