"Time [s]"	"X-Loc. [mm]"	"Energy [eu]"
72.1088791	14.6640491	34.7264748
363.746338	11.7494574	74.7654343
372.372162	11.3851337	42.5780144
373.604736	5.9202733	15.7421474
377.296204	14.4818869	27.5389919
384.856079	7.83297443	29.2186756
387.650726	13.2067528	38.7499008
389.817291	11.1118898	32.5780411
390.265869	8.65270329	158.124588
393.623962	11.2940521	40.859272
395.419159	11.5672951	162.499588
396.031097	9.92783737	18.2812023
396.228424	8.65270329	46.4061317
396.469086	8.01513577	67.8904495
399.187073	5.00946283	104.687233
402.990601	4.73622036	60.7810936
405.264862	2.18595195	52.4998665
406.366089	7.01324558	52.1092415
406.963623	10.018919	37.0702171
406.996613	12.2048626	54.2967377
407.606293	10.018919	32.4608536
407.636902	9.74567509	35.6639709
407.85321	5.73811102	23.749939
408.34433	8.28837872	92.6560135
408.949524	9.83675671	43.1248894
409.13327	1.27514267	21.2499447
410.411957	8.83486462	74.1404343
412.449219	11.7494574	50.0779953
412.462311	8.19729805	43.6717644
413.427429	13.935401	33.3202286
414.000458	15.3016167	46.1717567
414.249451	14.2086449	33.6327248
414.517639	18.1251278	31.874918
414.528351	8.65270329	37.4999046
414.539215	12.2959423	69.0623245
414.572113	8.74378395	54.1404877
415.535309	1.09298062	40.859272
415.892059	11.4762144	65.0779572
416.631866	8.74378395	66.4060822
417.1492	10.1099997	80.937294
417.554047	9.5635128	109.999718
417.927734	12.7513485	226.87442
418.377991	5.46486807	54.8436089
418.443787	8.19729805	23.3983784
419.498138	13.0245905	26.6014938
420.104828	4.55405855	37.6561546
420.583679	6.10243511	61.7967186
420.592163	6.8310833	21.6796322
421.167664	11.0208092	97.8122482
421.654938	4.91838217	29.6874237
423.116028	12.0227003	34.8436623
424.070557	11.7494574	51.3279953
424.312805	9.5635128	28.2811775
424.459045	8.56162262	42.3436432
425.445709	10.8386478	152.812103
425.794098	9.5635128	36.0545959
426.125397	9.65459442	85.7810287
426.185211	8.83486462	81.874794
426.310455	10.7475662	29.8046112
426.339264	9.47243214	353.749084
426.591797	15.210535	97.9684982
426.691864	11.9316196	33.6327248
427.082214	4.73622036	57.4217262
427.630554	21.22188	64.2185822
428.290863	5.64703035	258.124329
428.833984	17.7608013	34.8045998
428.884033	10.292161	112.65596
428.894836	13.4799967	26.9530563
429.186218	9.83675671	113.43721
429.195435	14.8462114	70.1560669
429.204498	11.0208092	29.3749256
429.230865	10.8386478	52.9686127
429.274017	4.37189627	20.8202591
429.315765	11.840538	84.0622864
429.675873	2.36811447	66.7967072
429.732025	7.55973101	34.1405373
429.824066	8.28837872	56.562355
429.912689	10.9297276	139.374649
430.262634	-1.45728791	48.6717491
430.390808	5.64703035	122.812187
430.686707	3.46108627	185.624527
430.692657	8.470541	30.9764824
431.14151	20.8575573	20.7030716
431.265961	6.19351625	96.7185059
431.431824	6.10243511	238.74939
431.581329	5.28270626	66.1717072
431.598419	21.7683678	51.4061203
431.683777	8.10621643	105.937225
431.696106	9.47243214	49.8436241
431.808899	7.19540739	30.9764824
431.910187	5.37378693	63.2810898
432.106689	15.1194534	63.749836
432.339417	16.4856682	44.0623856
432.34082	2.36811447	44.8436356
432.637207	18.6716137	57.10923
432.638763	10.5654039	34.7655373
432.645111	11.0208092	209.374466
432.841064	13.2067528	40.390522
433.145905	17.7608013	36.2108459
433.295166	7.65081215	62.8904648
433.823975	10.292161	32.5780411
433.847534	8.10621643	36.7967796
434.00647	18.5805321	59.0623474
434.340698	19.2180977	18.8671398
434.385437	19.4002609	45.8592567
434.795624	9.0170269	75.9373093
435.18396	10.7475662	154.999603
435.321899	11.2029715	59.9217224
435.332886	4.8273015	34.4139748
435.360901	9.92783737	119.062195
435.465363	6.55783987	157.812103
435.579681	10.1099997	52.6561165
435.673584	11.840538	18.3788586
435.798126	12.7513485	165.312073
436.049042	4.64513922	23.984314
436.340393	20.0378284	54.4529839
436.51474	9.65459442	32.3827286
436.675446	10.2010794	47.7342529
437.163879	14.8462114	24.2577496
437.173859	7.65081215	175.312057
437.400208	14.9372931	47.5780029
437.80014	13.3889151	46.2498817
437.913666	8.56162262	32.6952286
438.056183	14.6640491	21.9140072
438.16925	17.3964806	29.1796131
438.231415	8.10621643	47.1092529
438.447479	16.3035069	81.406044
438.485107	12.0227003	80.781044
438.576935	7.28648806	21.1327591
438.786438	9.0170269	67.1873245
438.793732	11.0208092	23.4765015
438.852936	6.37567854	91.4060135
438.930908	6.64892149	88.1247711
439.135742	8.28837872	65.3904572
439.23291	19.5824242	51.0936203
440.267151	7.55973101	28.47649
440.312317	9.83675671	23.2811909
440.38446	9.47243214	230.936905
440.389374	12.8424292	32.6952286
440.473022	5.82919216	52.7342415
440.54422	6.2845974	30.9764824
440.617737	0.273250967	57.187355
440.819916	12.8424292	94.9997559
440.959839	2.09487128	39.5702095
441.826599	4.64513922	33.6717873
441.990936	8.470541	93.2810135
442.112122	-1.63944995	66.0935822
442.257721	9.65459442	76.4841766
442.262238	-0.910801828	93.7497635
442.292633	10.5654039	206.874466
442.365204	19.127018	47.8123779
442.542358	10.292161	37.8124046
442.624847	6.37567854	30.2733593
442.674316	11.840538	28.47649
443.18692	13.1156721	56.406105
443.264557	10.5654039	174.374557
443.349701	13.935401	30.7421093
443.643372	-0.273235142	58.2029762
443.762451	11.840538	51.9529915
443.82663	10.2010794	39.9608345
443.869965	8.470541	28.16399
443.884674	5.19162512	210.936966
444.008392	9.38135147	659.998291
444.27652	13.935401	26.7186813
444.515686	10.4743233	34.6874123
444.528046	12.2959423	45.6248817
444.580627	6.4667592	31.4061699
444.61908	17.7608013	24.3358746
444.803162	20.1289101	29.5702362
444.927856	15.5748596	67.8123245
445.004761	8.74378395	53.1248627
445.032379	11.2940521	30.8592968
445.357147	12.6602669	22.8515034
445.463104	3.55216718	60.7029686
445.630737	3.00568104	26.0546207
445.778473	10.8386478	160.624588
445.809509	9.65459442	49.6873741
445.895813	4.09865332	63.0467148
445.999817	9.92783737	126.718422
446.001312	14.3908062	20.7811966
446.139191	3.27892423	26.7186813
446.148621	16.3945885	50.9373703
446.167511	13.7532387	88.4372711
446.243744	6.74000216	45.3123856
446.387573	11.6583757	341.874115
446.401062	9.47243214	443.123871
446.589935	14.3908062	42.2655182
446.749908	8.01513577	70.7029419
446.941681	-0.182153657	55.7811089
447.097015	10.9297276	117.812195
447.366302	18.3983707	25.2343102
447.397247	10.292161	39.1014633
447.474915	15.1194534	44.4530106
447.514038	6.10243511	23.0077534
447.520905	11.2029715	24.9999352
447.804871	12.1137819	26.4843063
447.837189	17.9429646	37.5780296
447.867615	2.82351899	55.7029839
448.596863	10.8386478	46.0155067
448.806091	20.5843143	33.3202286
448.866791	7.83297443	38.2030258
448.933289	5.28270626	115.780952
449.475372	7.83297443	61.4060936
449.507538	8.92594624	26.4843063
449.718079	9.47243214	249.374359
449.875458	6.2845974	71.9529419
450.569	9.92783737	95.7810059
450.638824	7.65081215	118.593445
450.897736	13.3889151	30.9374199
450.929169	5.73811102	87.1872787
450.994202	13.8443203	371.249054
451.021576	10.5654039	261.249329
451.413391	9.0170269	110.468468
451.43631	16.3945885	46.3280067
451.477539	10.6564856	19.5312004
451.665161	6.01135445	32.6171036
451.749207	9.65459442	34.9999123
451.828979	0.546494484	36.2889709
451.836395	7.01324558	224.68692
451.956696	7.37756968	232.811905
452.020172	8.92594624	37.2655296
452.067535	20.7664757	29.3749256
452.32077	5.82919216	130.624664
452.330841	10.7475662	81.874794
452.563202	12.3870239	65.5467072
452.628662	14.2086449	41.0155182
452.834473	11.2029715	34.1795998
452.843536	8.92594624	36.7186546
